"","Feature","logFC","Average.level","T_statistic","P_value","Adjusted.p_value","GeneID","chromosome"
"2867","SRPRB",-0.0681591294072823,2.30972808756565,-0.754075720265541,0.455950414073387,0.96556534279626,58477,"3"
"2868","WBP2",0.0745254900749674,1.36660437678152,0.753888015721094,0.456061650150168,0.96556534279626,23558,"17"
"2869","CHST10",0.0845909017112243,-2.24274385561367,0.753625959115194,0.456216974850835,0.96556534279626,9486,"2"
"2870","ARHGAP18",-0.077870683792419,0.586554360236639,-0.753142632031244,0.456503531194922,0.96556534279626,93663,"6"
"2871","FURIN",0.0740343422090136,-0.608174696415423,0.753019939183783,0.456576290492059,0.96556534279626,5045,"15"
"2872","NEDD8",0.0937941638207032,0.936554169890589,0.752509929050576,0.456878809579484,0.96556534279626,4738,"14"
"2873","NSUN5",-0.0860441581525315,-0.993880794136646,-0.752404537315556,0.456941338705282,0.96556534279626,55695,"7"
"2874","TPSB2",-0.197304554680754,3.36489310640377,-0.751934397574611,0.457220334691891,0.96556534279626,64499,"16"
"2875","GNG7",0.107316235090932,-0.0305502661144686,0.751742682325877,0.457334133332974,0.96556534279626,2788,"19"
"2876","FTCD",0.185873312691221,-0.123931697747663,0.751503029669554,0.457476410090444,0.96556534279626,10841,"21"
"2877","ICE2",-0.121227080054976,-3.92715583003341,-0.751447201408008,0.457509557885126,0.96556534279626,79664,"15"
"2878","ZNF148",0.204953330731364,-0.60425222020576,0.751428165906846,0.457520860455496,0.96556534279626,7707,"3"
"2879","SERPINB3",0.162011043788979,-0.230188535519538,0.751421591597496,0.457524764073128,0.96556534279626,6317,"18"
"2880","BMP1",0.104263107250179,-3.31301641060276,0.75129906670161,0.457597519066355,0.96556534279626,649,"8"
"2881","FN3K",0.0614382552380655,1.23103907731517,0.7510174034349,0.457764795759583,0.96556534279626,64122,"17"
"2882","TMEM231",0.0816806311015268,-1.49206556761091,0.750839044628299,0.45787073960753,0.96556534279626,79583,"16"
"2883","TIMM29",-0.0652473257521956,0.789840858017301,-0.750528868260913,0.458055016353763,0.96556534279626,90580,"19"
"2884","KYAT1",-0.0827639174881132,-1.16543352436129,-0.750508239805905,0.458067273323853,0.96556534279626,883,"9"
"2885","CLASRP",0.131802025710691,-2.22170676378786,0.750301896053096,0.4581898887748,0.96556534279626,11129,"19"
"2886","PGAP4",-0.087517325257346,1.29683595185374,-0.750248991476073,0.458221329307202,0.96556534279626,84302,"9"
"2887","HMGN1",0.11757603795485,0.120170539175594,0.749249360971615,0.458815634751603,0.96556534279626,3150,"21"
"2888","RBMXL1",-0.0785148210100884,0.306472541075131,-0.749213912934923,0.45883671777929,0.96556534279626,494115,"1"
"2889","SERPINH1",-0.159237664592273,2.6342290454412,-0.749036663783682,0.458942146756675,0.96556534279626,871,"11"
"2890","ARMCX5",0.181539214458534,-3.46777219928002,0.748901347542635,0.459022643300679,0.96556534279626,64860,"X"
"2891","CYB561",0.0942127234964356,1.74854506854968,0.7483889385267,0.459327538593317,0.96556534279626,1534,"17"
"2892","NCOA6",0.0953777328098335,-2.01013000489176,0.747968226786091,0.459577960402914,0.96556534279626,23054,"20"
"2893","ABCB7",-0.0677335706241249,1.5632742146264,-0.747888723342367,0.459625292499294,0.96556534279626,22,"X"
"2894","MTPN",0.164469588435954,0.259749330040525,0.747632656500227,0.459777760367432,0.96556534279626,136319,"7"
"2895","C7",0.136321235493203,-1.08901809690844,0.747399934159781,0.459916354044089,0.96556534279626,730,"5"
"2896","GATC",0.144068755531897,-2.11275424469989,0.747195193570144,0.460038303870965,0.96556534279626,283459,"12"
