"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","common_name"
"128",102724594,0.0803371906712695,2.26717923340069,0.906784858965125,0.366993512347995,0.59509215548263,"LOC102724594"
"129",10277,0.00646242396313151,-0.442624126880942,0.0746797275652549,0.940638807904512,0.973289834852144,"UBE4B"
"130",1028,0.0595969797901934,-2.13732261476365,0.299528287682966,0.765242337608307,0.883403699123526,"CDKN1C"
"131",10280,0.0343793911261223,-0.0264496310650685,0.432095631504182,0.666727398902229,0.823580755576953,"SIGMAR1"
"132",102800317,-0.0262648076932193,-0.818075780797242,-0.272029883211053,0.786235387390386,0.895876548697361,"TPTEP2-CSNK1E"
"133",10282,-0.0853268027050396,-0.324943062086274,-0.719393577106426,0.4738020044767,0.684120607734177,"BET1"
"134",10283,0.0189247229666276,-1.08272629905142,0.225111994221675,0.822413364376446,0.916073622397971,"CWC27"
"135",10285,0.156687299434654,-0.179351338988007,1.36605177348396,0.175398894572944,0.389154797028386,"SMNDC1"
"136",10286,-0.0431210151775321,0.678909665943715,-0.544111411354794,0.587738922348719,0.772327447094078,"BCAS2"
"137",1029,-0.186502235062743,-1.65708892101402,-1.21352404331482,0.228172186809841,0.449788956720271,"CDKN2A"
"138",10295,0.0978172512145054,0.900731338610789,1.37617486481355,0.172254723475185,0.385893858854574,"BCKDK"
"139",10296,0.0021860727170937,-1.6515677638564,0.0302158447082381,0.975963241552847,0.989235269963496,"MAEA"
"140",10300,-0.00610590814519751,-1.7282579998974,-0.0432736061417793,0.965581335560051,0.984998876128901,"KATNB1"
"141",1031,0.0732478473962891,-0.353487799862462,0.700057643437583,0.485735405750023,0.692232161712013,"CDKN2C"
"142",10311,-0.121844730425407,-0.75868729911468,-1.35131259663128,0.180054391854993,0.394001375117984,"VPS26C"
"143",10312,0.60853923938815,-1.0973943655146,3.4176876816754,0.000957864617190629,0.0211183556826811,"TCIRG1"
"144",10314,0.209767428800666,2.12977593187217,2.51842291785347,0.0135937630493382,0.0794812600591229,"LANCL1"
"145",10317,-0.129054388002221,-0.432133461049924,-0.74187769494936,0.460134207020283,0.675186173246593,"B3GALT5"
"146",10319,0.048710006072963,0.174628613526134,0.2246778329055,0.822750073474888,0.916157307070461,"LAMC3"
"147",10322,0.311898713649508,-0.238715033749485,2.74737033145532,0.0072845341408458,0.0556125255678004,"SMYD5"
"148",10325,-0.252402694472736,-3.44980977541916,-1.54737689252676,0.125356395604898,0.315947748225816,"RRAGB"
"149",10327,0.142518489855165,5.11538019015316,1.65067664775086,0.102364458870787,0.279250243799506,"AKR1A1"
"150",10328,0.0774153578446062,1.37954958416588,0.925006317636198,0.357488836106535,0.587487677649775,"EMC8"
"151",10330,-0.157687659875652,3.36252780959179,-1.86513920915562,0.0654898701631728,0.212798741694841,"CNPY2"
"152",10331,0.275365104874224,-2.7384334248179,1.37827754191975,0.17160705629952,0.385268511911651,"B3GNT3"
"153",10342,-0.0166031651257281,3.19780350728549,-0.171176319525096,0.864477579023649,0.937196089308147,"TFG"
"154",10346,0.16136739657833,-1.11942433797823,1.27459565181913,0.205803178804606,0.424039214388934,"TRIM22"
"155",10347,-0.15856912556604,-0.186392558866007,-2.02591368079297,0.0457981889959002,0.171095121154495,"ABCA7"
"156",10351,-0.160782288762491,-4.77064129004059,-0.505851904270348,0.614223711695956,0.791540025695943,"ABCA8"
"157",10352,-0.0552267040447248,0.314322921170961,-0.655508801665349,0.513847946117425,0.713360946253857,"WARS2"
"158",10360,0.249339811689369,-1.96311083242723,2.03888996965763,0.0444574410594256,0.167719590179935,"NPM3"
"159",10361,-0.191067313414825,0.437816459109717,-1.51016142824504,0.134579807359077,0.330817323816586,"NPM2"
"160",10362,-0.224761607090872,-0.340674533846495,-1.82113612932055,0.071979789544985,0.224726321580426,"HMG20B"
"161",10363,-0.105845980568623,-0.675108833811227,-1.17058067246903,0.244923270400717,0.470351385965054,"HMG20A"
"162",10367,0.0164168888236613,-0.4479272662142,0.203053157988672,0.839561607631089,0.92533100180783,"MICU1"
"163",10376,0.419201157222055,-1.56201407944373,1.26972117449355,0.207526809835827,0.426162448568854,"TUBA1B"
"164",10379,-0.0218100094194984,-2.89906962094661,-0.148527113325667,0.882266148103176,0.945580866666414,"IRF9"
"165",10381,-0.0402156146703088,3.89209861662213,-0.360777129818718,0.719129484518875,0.855595420813502,"TUBB3"
"166",10382,0.47191533321431,-1.99490674697243,1.65571701119549,0.101336255314041,0.277555526603118,"TUBB4A"
"167",10383,0.0325854552875224,5.66207515736075,0.357661165108032,0.721452129257673,0.856906038751294,"TUBB4B"
"168",10384,-0.113201998555945,-1.98515315280827,-0.895371323572754,0.373027891014261,0.599452114377766,"BTN3A3"
"169",10389,-0.160528971357911,-1.48685076083451,-0.948152342591858,0.345644875660318,0.5770541607892,"SCML2"
"170",10390,0.185649766879088,2.08769833519566,2.14552273394098,0.0346612489588595,0.142881629354922,"CEPT1"
"171",10391,-0.330577341466706,0.379315679417692,-2.1743667878051,0.0323574199645109,0.136501610819359,"CORO2B"
"172",103910,0.247713794098376,3.84815407099618,2.28068752520614,0.0249788975020942,0.117062269637609,"MYL12B"
"173",10393,0.0314626471955675,-1.7396615892098,0.24590136377087,0.80633042988048,0.908529184747043,"ANAPC10"
"174",10396,-0.420667194463539,2.38834824200633,-2.64126214440978,0.00977121564196245,0.0659798917605781,"ATP8A1"
"175",10397,0.110626222763413,1.12264950589966,0.899462664060045,0.370857633781956,0.597617263364044,"NDRG1"
"176",10398,0.0137762266021233,1.6547556410893,0.0789532731240779,0.937248804286844,0.973289834852144,"MYL9"
"177",10399,0.307055209810553,4.19972142175934,3.31885631319594,0.0013154411717228,0.0238975233062856,"RACK1"
"178",104,-0.18031512793991,-2.51947545407608,-0.819657763971673,0.414622683737386,0.634518713656446,"ADARB1"
"179",10402,-0.443656309639498,0.00844825011986633,-2.58719596069331,0.0113143292314211,0.0717657248454083,"ST3GAL6"
"180",10404,-0.243130541912874,3.32736488358671,-1.92608894898099,0.0573170584127007,0.196569231507533,"CPQ"
"181",10409,0.385784391508622,-3.05787916595602,1.48292488910076,0.14166207125666,0.343006624604883,"BASP1"
"182",1041,-0.270083797534755,-2.10393269427019,-1.45882302239281,0.148169161356068,0.351947147433127,"CDSN"
"183",10410,0.733761276638215,-2.8567991354452,4.31054261443187,4.22829785725306e-05,0.0043095858207076,"IFITM3"
"184",10412,0.25779160694592,-1.07825459221771,1.90670060928259,0.0598178754979833,0.20038402595138,"NSA2"
"185",10413,0.592485897629843,-0.991254094449532,3.24529647794501,0.00165921100070171,0.0270138915711064,"YAP1"
"186",10417,-0.228392982127213,-1.50535556206438,-1.42093110966687,0.158865807293698,0.367004277052733,"SPON2"
"187",10422,-0.00264154704177388,-0.86962202221941,-0.0322831685727434,0.974319240946328,0.988818039174696,"UBAC1"
"188",10423,0.0435451444754986,2.26574508120653,0.457138995686663,0.648696126416177,0.814752777561386,"CDIPT"
"189",10425,-0.0337684545528403,-0.63992150510698,-0.442947956823754,0.658888853588262,0.820503100694817,"ARIH2"
"190",10428,0.00110500001527147,-0.594550075129793,0.0107620240760678,0.991437640254,0.995166677985127,"CFDP1"
"191",10434,0.173504725264677,2.69967613367243,1.78571278417305,0.0775858956514971,0.236104227817992,"LYPLA1"
"192",10436,0.192349391932443,1.01620119496466,2.43628230158203,0.0168512503318476,0.0912912396618538,"EMG1"
"193",10437,0.296965629782089,-0.0817317063689904,1.17936344861157,0.241427811603291,0.465415800132224,"IFI30"
"194",10438,-0.0125158037342457,-1.97220316100242,-0.084292341102196,0.933015203881437,0.971145891372607,"C1D"
"195",10444,0.320040975082784,-2.78427097232453,1.85359584491543,0.0671430131094536,0.216224456697705,"ZER1"
"196",10445,0.0650889366405452,-1.57974857944426,0.512255255736623,0.609753900656942,0.787764563719703,"MCRS1"
"197",10447,-0.146903226420926,2.56057896708124,-2.00214364431132,0.0483441371773624,0.177792878367076,"FAM3C"
"198",10449,-0.0674251877583742,3.75622364640116,-0.858295001224041,0.393058142518692,0.616873147220591,"ACAA2"
